City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keflavik,64.0049,-22.5624,5.24,87,100,11.32,IS,1684015827
1,margaret river,-33.95,115.0667,15.1,71,88,3.12,AU,1684015818
2,kingston,17.997,-76.7936,29.53,70,40,9.26,JM,1684015639
3,vadso,70.0744,29.7487,8.49,75,75,2.06,NO,1684015861
4,port elizabeth,-33.918,25.5701,16.16,97,100,7.72,ZA,1684015937
5,bredasdorp,-34.5322,20.0403,13.98,75,57,6.21,ZA,1684015864
6,puerto ayora,-0.7393,-90.3518,27.98,92,74,3.58,EC,1684015832
7,argo,37.6333,22.7333,16.55,85,98,0.68,GR,1684016139
8,port-aux-francais,-49.35,70.2167,3.51,56,44,2.75,TF,1684015799
9,tosontsengel,48.7567,98.2839,3.09,78,91,2.68,MN,1684016139
10,san andres,12.5847,-81.7006,30.01,66,20,4.12,CO,1684016139
11,port mathurin,-19.6833,63.4167,25.62,74,2,7.1,MU,1684015827
12,vredendal,-31.6683,18.5012,14.25,58,0,3.84,ZA,1684016140
13,talnakh,69.4865,88.3972,-6.55,94,100,6.15,RU,1684015838
14,ash shamiyah,31.9636,44.599,27.81,20,0,4.41,IQ,1684016140
15,puerto natales,-51.7236,-72.4875,6.06,84,79,3.33,CL,1684015829
16,mount pearl,47.5166,-52.7813,6.15,79,73,2.68,CA,1684016121
17,klyuchi,52.2667,79.1667,10.32,44,100,5.71,RU,1684016027
18,iqaluit,63.7506,-68.5145,-4.61,73,13,7.15,CA,1684015800
19,west island,-12.1568,96.8225,25.99,94,100,5.14,CC,1684015820
20,ribeira grande,38.5167,-28.7,17.1,84,100,2.68,PT,1684015823
21,huambo,-12.7761,15.7392,15.2,61,100,1.0,AO,1684016142
22,kuqa,41.7278,82.9364,20.11,28,18,1.92,CN,1684016142
23,zatec,50.3272,13.5458,11.32,89,39,1.5,CZ,1684015962
24,adamstown,-25.066,-130.1015,23.22,65,100,8.39,PN,1684015837
25,selfoss,63.9331,-20.9971,4.47,95,100,7.05,IS,1684015614
26,afaahiti,-17.75,-149.2833,28.93,75,82,6.12,PF,1684015966
27,bonga,7.2833,36.2333,16.04,97,88,0.66,ET,1684016143
28,karratha,-20.7377,116.8463,21.42,39,43,4.79,AU,1684016144
29,harstad,68.799,16.5293,7.86,98,100,5.81,NO,1684016095
30,kailua-kona,19.6406,-155.9956,28.06,76,40,4.12,US,1684015891
31,sumberpucung,-8.1586,112.4829,19.67,94,48,0.9,ID,1684016037
32,beloyarskiy,63.7119,66.6722,1.28,88,100,4.09,RU,1684016145
33,enewetak,11.3474,162.3373,27.99,75,91,7.36,MH,1684015838
34,blackmans bay,-43.0167,147.3167,5.07,93,70,2.17,AU,1684015843
